TSModelSummaryObject
ModelClass,ModelType,Support,SupportGEDYD,SupportPTIDYR,SupportBPAIPF,CountActiveOnline,CountActive,CountInactive
Stabilizer,PSS4B,YES,,YES,NO,0,0,0
Stabilizer,PSS4C,YES,,YES,NO,0,0,0
Stabilizer,PSS5C,YES,,,NO,0,0,0
Stabilizer,PSS6C,YES,YES,YES,NO,0,0,0
Stabilizer,PSS7C,YES,YES,YES,NO,0,0,0
Stabilizer,PSSSB,YES,YES,Translate (PSS2A),NO,0,0,0
Stabilizer,PSSSH,YES,YES,,NO,0,0,0
Stabilizer,PTIST1,YES,,YES,NO,0,0,0
Stabilizer,PTIST3,YES,,YES,NO,0,0,0
Stabilizer,SIGNALSTAB,YES,,,NO,0,0,0
Stabilizer,ST2CUT,YES,Translate (WSCCST),YES,NO,0,0,0
Stabilizer,STAB1,YES,Translate (IEEEST),YES,NO,0,0,0
Stabilizer,STAB2A,YES,Translate (PSS2A),YES,NO,0,0,0
Stabilizer,STAB3,YES,,YES,NO,0,0,0
Stabilizer,STAB4,YES,,YES,NO,0,0,0
Stabilizer,STBSVC,YES,,YES,NO,0,0,0
Stabilizer,WSCCST,YES,YES,,NO,0,0,0
Stabilizer,WT12A1,YES,Translate (WT1P),YES,NO,0,0,0
Stabilizer,WT1P,YES,YES,Translate (WT12A1),NO,0,0,0
Stabilizer,WT1P_B,YES,YES,Translate (WT1P_B),NO,0,0,0
Stabilizer,WT2P,YES,YES,Translate (WT12A1),NO,0,0,0
Stabilizer,WT3P,YES,YES,Translate (WT3P1),NO,0,0,0
Stabilizer,WT3P1,YES,Translate (WT3P),YES,NO,0,0,0
Stabilizer,WTGPT_A,YES,YES (WTGP_A),Translate (WTPTA1),NO,0,0,0
Stabilizer,WTGPT_B,YES,Translate (WTGP_A),Translate (WTPTA1),NO,0,0,0
Stabilizer,WTPTA1,YES,Translate (WTGP_A),YES,NO,0,0,0
Stator Current Limiter,SCL1C,YES,,,NO,0,0,0
Stator Current Limiter,SCL2C,YES,,,NO,0,0,0
Switched Shunt Model,ABBSVC1,YES,,YES,NO,0,0,0
Switched Shunt Model,CAPRELAY,YES,,,NO,0,0,0
Switched Shunt Model,CHSVCT,YES,,YES,NO,0,0,0
Switched Shunt Model,CSSCST,YES,,YES,NO,0,0,0
Switched Shunt Model,CSTCNT,YES,,YES,NO,0,0,0
Switched Shunt Model,FACRI_SS,YES,,,NO,0,0,0
Switched Shunt Model,MSC1,YES,YES,,NO,0,0,0
Switched Shunt Model,MSR1,YES,YES,,NO,0,0,0
Switched Shunt Model,MSS1,YES,YES,,NO,0,0,0
Switched Shunt Model,MSS2,YES,YES,,NO,0,0,0
Switched Shunt Model,SVCALS,YES,YES,,NO,0,0,0
Switched Shunt Model,SVSMO1,YES,YES,Translate (SVSMO1T2),NO,0,0,0
Switched Shunt Model,SVSMO1_AK_A,YES,,,NO,0,0,0
Switched Shunt Model,SVSMO1_AK_B,YES,,,NO,0,0,0
Switched Shunt Model,SVSMO2,YES,YES,Translate (SVSMO2T2),NO,0,0,0
Switched Shunt Model,SVSMO3,YES,YES,YES (SVSMO3T2),NO,0,0,0
Switched Shunt Model,SWSHNT,YES,,YES,NO,0,0,0
Tap Control,LTC1,YES,YES,,NO,0,0,0
Under Excitation Limiter,MNLEX1,YES,,YES,NO,0,0,0
Under Excitation Limiter,MNLEX2,YES,,YES,NO,0,0,0
Under Excitation Limiter,MNLEX3,YES,,YES,NO,0,0,0
Under Excitation Limiter,UEL1,YES,YES,YES,NO,0,0,0
Under Excitation Limiter,UEL2,YES,YES,,NO,0,0,0
Under Excitation Limiter,UEL2_PTI,YES,,YES (UEL2),NO,0,0,0
Under Excitation Limiter,UEL2C,YES,YES,YES,NO,0,0,0
Under Excitation Limiter,UEL2C_PTI,YES,YES (UEL2C),YES (UEL2C),NO,0,0,0
Voltage Compensator,CCOMP,YES,YES,Translate (COMPCC),NO,0,0,0
Voltage Compensator,CCOMP4,YES,YES,,NO,0,0,0
Voltage Compensator,COMP,YES,,YES,NO,0,0,0
Voltage Compensator,COMPCC,YES,Translate (CCOMP),YES,NO,0,0,0
Voltage Compensator,IEEEVC,YES,,YES,NO,0,0,0
Voltage Compensator,REMCMP,YES,,YES,NO,0,0,0
VSCDC Line Model,VHVDC1,YES,YES,YES,NO,0,0,0
VSCDC Line Model,VSCDCT,YES,,YES,NO,0,0,0
